sec,stnew,strm,grp,sstrm,bstrm,Bstrm_name
1,10,23,2,2,D029,Bhojpur
1,10,23,2,3,D029,Bhojpur
1,21,23,1,1,D029,Koraput
1,21,23,2,1,D029,Koraput
2,10,23,9,1,D029,Bhojpur
2,21,23,9,1,D029,Koraput
1,8,24,2,1,D029,Kota
1,29,25,2,1,D029,Bengaluru (Rural)
2,8,25,9,1,D029,Kota
2,29,25,9,1,D029,Bengaluru (Rural)
1,23,27,1,1,D029,Raisen
1,23,27,2,1,D029,Raisen
2,23,27,9,1,D029,Raisen
1,9,29,2,1,D029,Kannauj
2,9,29,9,1,D029,Kannauj
2,9,29,9,2,D029,Kannauj
2,8,202,9,1,D029,Kota
1,9,529,2,1,D029,Kannauj
1,27,20,2,1,D030,Solapur
1,27,20,2,2,D030,Solapur
1,27,20,2,3,D030,Solapur
2,27,20,9,1,D030,Solapur
2,27,20,9,2,D030,Solapur
1,22,21,2,1,D030,Sakti
1,36,21,2,1,D030,Suryapet
2,22,21,9,1,D030,Sakti
2,36,22,9,1,D030,Suryapet
1,33,23,2,1,D030,Krishnagiri
1,33,23,2,2,D030,Krishnagiri
2,33,23,9,1,D030,Krishnagiri
1,10,24,2,1,D030,Buxar
1,10,24,2,2,D030,Buxar
2,10,24,9,1,D030,Buxar
1,8,25,2,1,D030,Baran
1,8,25,2,2,D030,Baran
2,8,26,9,1,D030,Baran
1,23,28,2,1,D030,Betul
1,23,28,2,2,D030,Betul
2,23,28,9,1,D030,Betul
1,9,30,2,1,D030,Etawah
1,9,30,2,2,D030,Etawah
2,9,30,9,1,D030,Etawah
1,27,21,2,1,D031,Satara
1,27,21,2,2,D031,Satara
1,27,21,2,3,D031,Satara
2,27,21,9,1,D031,Satara
1,24,22,2,1,D031,Gir Somnath
1,36,22,2,1,D031,Khammam
1,36,22,2,2,D031,Khammam
2,24,22,9,1,D031,Gir Somnath
2,36,23,9,1,D031,Khammam
1,33,24,2,1,D031,Coimbatore
2,33,24,9,1,D031,Coimbatore
2,33,24,9,2,D031,Coimbatore
1,8,26,1,1,D031,Jhalawar
